: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Cancelled Flight Indicator (1=Yes) by Operating_Airline  by Month for 2022
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,1346,771,341,209,624,1413,1115,1017,198,300,270,592,8196
AA,American Airlines Inc.,2939,5362,770,1350,1154,4713,2448,3302,1303,578,801,1174,25894
AS,Alaska Airlines Inc.,1269,243,247,1058,661,160,100,134,188,100,323,1735,6218
B6,JetBlue Airways,2088,1048,635,2163,539,743,415,551,793,334,445,465,10219
C5,CommuteAir LLC dba CommuteAir,556,498,96,89,91,82,106,187,30,5,36,133,1909
DL,Delta Air Lines Inc.,2237,892,436,815,2227,2946,788,572,745,325,483,1851,14317
F9,Frontier Airlines Inc.,536,482,585,438,179,136,145,126,564,248,351,665,4455
G4,Allegiant Air,724,493,633,310,179,368,184,103,323,120,123,550,4110
G7,GoJet Airlines LLC d/b/a United Express,677,471,123,151,354,368,278,563,79,40,48,96,3248
HA,Hawaiian Airlines Inc.,217,11,24,82,4,7,6,9,10,30,49,231,680
MQ,Envoy Air,669,2063,323,343,222,143,128,534,215,62,296,468,5466
NK,Spirit Air Lines,601,559,410,1920,413,227,68,176,714,488,403,994,6973
OH,PSA Airlines Inc.,2242,655,368,178,573,795,540,397,361,57,155,226,6547
OO,SkyWest Airlines Inc.,4267,2217,571,792,516,427,497,875,208,176,644,2028,13218
PT,Piedmont Airlines,636,360,154,36,100,118,77,88,49,6,20,131,1775
QX,Horizon Air,426,102,139,160,68,50,35,18,12,16,61,425,1512
UA,United Air Lines Inc.,2906,887,218,485,1005,1748,825,1190,554,288,360,1420,11886
WN,Southwest Airlines Co.,6448,3779,2048,1941,809,1296,1843,3157,1983,1369,982,17000,42655
YV,Mesa Airlines Inc.,1456,678,99,106,242,188,187,377,84,100,86,141,3744
YX,Republic Airline,2868,1471,852,636,1944,2470,1195,1845,370,223,346,612,14832
ZW,Air Wisconsin Airlines Corp,559,379,36,135,89,75,153,262,75,13,158,250,2184
All Rows,All Rows (including those not displayed),35667,23421,9108,13397,11993,18473,11133,15483,8858,4878,6440,31187,190038
