On-Time: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Departure Delay Indicator, 15 Minutes or More (1=Yes) by Operating_Airline  by Month for 2020
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,2587,3336,1711,200,220,353,913,1170,621,1094,876,1504,14585
AA,American Airlines Inc.,11000,11012,6995,1647,1126,1718,3725,3482,3023,4126,2927,3657,54438
AS,Alaska Airlines Inc.,3863,2595,2218,159,188,399,412,553,488,616,842,677,13010
AX,Trans States Airlines,1008,990,676,1,-,-,-,-,-,-,-,-,2675
B6,JetBlue Airways,3735,3748,2531,255,135,396,1064,607,334,803,856,1700,16164
C5,CommuteAir LLC dba CommuteAir,1100,1073,587,18,35,87,154,128,101,267,255,407,4212
CP,Alis Cargo Airlines S.P.A.,716,469,359,9,-,-,-,-,-,-,-,-,1553
DL,Delta Air Lines Inc.,8095,9335,5111,1106,738,939,2583,3228,1909,2257,2529,3973,41803
EM,Empire Airlines Inc.,138,98,70,5,8,18,12,16,11,62,20,11,469
EV,ExpressJet Airlines LLC d/b/a aha!,1295,1311,711,157,104,138,119,125,116,-,-,-,4076
F9,Frontier Airlines Inc.,1888,2091,1276,66,169,290,654,773,442,893,410,665,9617
G4,Allegiant Air,1376,1741,1216,259,789,1056,1367,1071,607,1268,812,988,12550
G7,GoJet Airlines LLC d/b/a United Express,1126,822,498,89,65,89,101,98,144,203,207,204,3646
HA,Hawaiian Airlines Inc.,557,391,494,23,51,98,109,43,47,84,101,141,2139
MQ,Envoy Air,4300,3380,2107,268,499,721,1384,955,972,1564,927,1676,18753
NK,Spirit Air Lines,2403,2897,2350,358,45,240,1519,919,523,743,1007,1577,14581
OH,PSA Airlines Inc.,4658,5776,2903,571,555,686,1524,1637,802,948,905,1115,22080
OO,SkyWest Airlines Inc.,10836,10278,6225,1495,1070,1396,3130,3123,3107,4118,3416,5491,53685
PT,Piedmont Airlines,1482,1887,817,207,189,179,431,440,192,166,267,418,6675
QX,Horizon Air,2061,1276,754,97,186,362,421,589,513,535,596,719,8109
UA,United Air Lines Inc.,6165,6162,3878,423,365,515,1069,1342,975,1665,1586,2537,26682
WN,Southwest Airlines Co.,13381,12004,7203,1363,1607,4837,4651,4886,3599,3075,3576,8172,68354
YV,Mesa Airlines Inc.,2802,2337,2025,306,391,375,912,614,804,902,979,1554,14001
YX,Republic Airline,2964,3831,1733,323,196,364,956,759,528,715,895,1492,14756
ZW,Air Wisconsin Airlines Corp,1274,1448,601,71,81,92,67,154,186,263,231,195,4663
All Rows,All Rows (including those not displayed),90810,90288,55049,9476,8812,15348,27277,26712,20044,26367,24220,38873,433276
