On-Time: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Number of Flights by Operating_Airline  by Month for 2021
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,19506,17360,21394,22563,24104,25278,25069,23098,21952,23502,21151,21890,266867
AA,American Airlines Inc.,38226,34256,47648,52305,61032,70426,72965,73455,67576,73778,72908,71824,736399
AS,Alaska Airlines Inc.,10628,11375,14531,15127,15999,16971,17370,17890,17438,17848,16893,16885,188955
B6,JetBlue Airways,8937,10003,13724,15243,17565,18369,20126,20271,18575,19083,19625,21181,202702
C5,CommuteAir LLC dba CommuteAir,4312,4526,5408,5685,6031,6724,7211,7266,7317,6963,7865,7358,76666
DL,Delta Air Lines Inc.,48239,43738,55856,55500,61115,65882,70002,70653,67597,70518,70361,68537,747998
EM,Empire Airlines Inc.,112,-,-,-,-,-,-,-,-,-,-,-,112
F9,Frontier Airlines Inc.,6264,6582,10886,10910,11940,12590,13467,13398,12155,12987,12803,13160,137142
G4,Allegiant Air,5827,7977,11709,9475,8920,12568,14130,9920,6704,9313,8999,10339,115881
G7,GoJet Airlines LLC d/b/a United Express,2812,3065,3741,3872,4613,5332,6609,6946,6142,5930,5684,5397,60143
HA,Hawaiian Airlines Inc.,3199,2707,3268,4032,4580,5980,6214,6518,6233,5856,5749,6206,60542
MQ,Envoy Air,17666,15650,19772,19609,21513,23530,24278,24058,21729,22774,22327,22845,255751
NK,Spirit Air Lines,11202,10105,14687,14487,17032,16608,18993,19096,16867,16858,17441,17985,191361
OH,PSA Airlines Inc.,12615,11479,15945,18093,20675,20396,21269,21379,19622,20867,19727,20535,222602
OO,SkyWest Airlines Inc.,51995,47307,57624,56651,60400,67511,72129,71599,66970,68960,66277,65920,753343
PT,Piedmont Airlines,6629,6135,7854,8423,8378,9234,9660,9183,7924,8645,8468,8798,99331
QX,Horizon Air,8906,8336,9572,9575,10137,10607,11400,11127,9200,7683,7687,7398,111628
UA,United Air Lines Inc.,23960,22280,28946,27787,30957,35760,43445,44765,44427,47757,47212,49541,446837
WN,Southwest Airlines Co.,61307,52733,80574,80253,87286,98532,103956,104524,97438,103300,97398,97339,1064640
YV,Mesa Airlines Inc.,11231,10189,12564,12529,13095,14263,15753,15619,13812,14610,13448,12676,159789
YX,Republic Airline,21720,20378,25776,26505,29174,30811,32691,31808,29775,29093,27553,27642,332926
ZW,Air Wisconsin Airlines Corp,4091,3989,5647,5312,5513,6407,8966,8921,8463,9048,7117,6782,80256
All Rows,All Rows (including those not displayed),379384,350170,467126,473936,520059,573779,615703,611494,567916,595373,576693,580238,6311871
