: Marketing Carrier On-Time Performance (Beginning January 2018)
Sum : Number of Flights by Operating_Airline  by Month for 2022
,,1,2,3,4,5,6,7,8,9,10,11,12,All Columns
,,January   ,February  ,March     ,April     ,May       ,June      ,July      ,August    ,September ,October   ,November  ,December  ,All Columns (including those not displayed)
9E,Endeavor Air Inc.,21660,18958,21313,20266,20385,19878,20164,19893,17975,18089,16793,16660,232034
AA,American Airlines Inc.,69400,64867,71264,67177,71652,74979,76614,78327,72211,77601,73904,76149,874145
AS,Alaska Airlines Inc.,16549,15969,18773,19361,19554,18917,20387,20514,19775,19645,18861,20079,228384
B6,JetBlue Airways,21332,20579,22949,24141,23602,21323,22867,23100,22469,23353,23462,23881,273058
C5,CommuteAir LLC dba CommuteAir,6229,5738,6108,5775,6066,7205,7246,6831,6838,6827,6514,6543,77920
DL,Delta Air Lines Inc.,68963,62755,75366,73076,76300,76887,78767,78673,74760,75987,75867,75771,893172
F9,Frontier Airlines Inc.,12039,11131,12901,12203,12678,12430,13175,13337,13512,14522,13659,13895,155482
G4,Allegiant Air,8714,8672,11766,10542,9867,11510,12433,9282,7017,8531,8122,10421,116877
G7,GoJet Airlines LLC d/b/a United Express,5437,4948,5241,4635,5060,5021,4451,4517,4212,3710,3109,3606,53947
HA,Hawaiian Airlines Inc.,5868,4984,6009,6019,6292,6286,6754,6514,6062,6258,6177,6642,73865
MQ,Envoy Air,22205,20762,22503,21769,21352,20312,21855,21858,19920,19254,17419,18803,248012
NK,Spirit Air Lines,17554,16729,19236,18653,19089,18555,19392,19581,20123,21317,20935,21236,232400
OH,PSA Airlines Inc.,20541,18894,19525,19189,19302,19279,19154,17392,16520,15981,14469,14156,214402
OO,SkyWest Airlines Inc.,63129,54949,60958,63841,66670,66034,65226,63713,62332,60574,55731,50437,733594
PT,Piedmont Airlines,8134,7850,8015,7400,7092,7153,7183,7139,6308,6833,6308,6226,85641
QX,Horizon Air,8105,7026,7888,7731,8278,8776,8516,8246,7548,5646,5478,5553,88791
UA,United Air Lines Inc.,45741,43982,50773,49252,53646,53105,55510,54918,50893,56495,53741,58417,626473
WN,Southwest Airlines Co.,97436,90965,103720,102931,108027,111002,117844,118889,112410,116520,111176,116229,1307149
YV,Mesa Airlines Inc.,11404,9880,9816,10369,11037,9880,9586,8887,8586,8693,8619,7996,114753
YX,Republic Airline,27262,24635,30099,29965,31088,28118,26714,26686,25344,23874,22051,20786,316622
ZW,Air Wisconsin Airlines Corp,6035,5679,6319,5995,5913,5407,4952,5352,5576,5612,5112,4835,66787
All Rows,All Rows (including those not displayed),563737,519952,590542,580290,602950,602057,618790,613649,580391,595322,567507,578321,7013508
