Latest available 2023 data is February  
DEST_STATE_ABR, Description, Year,Sum(FLIGHTS)
"-","Unknown","1987",5986
"-","Unknown","1988",26112
"-","Unknown","1989",25561
"-","Unknown","1990",135
"-","Unknown","1991",
"-","Unknown","1992",
"-","Unknown","1993",
"-","Unknown","1994",
"-","Unknown","1995",
"-","Unknown","1996",
"-","Unknown","1997",
"-","Unknown","1998",
"-","Unknown","1999",
"-","Unknown","2000",
"-","Unknown","2001",
"-","Unknown","2002",
"-","Unknown","2003",
"-","Unknown","2004",
"-","Unknown","2005",
"-","Unknown","2006",
"-","Unknown","2007",
"-","Unknown","2008",
"-","Unknown","2009",
"-","Unknown","2010",
"-","Unknown","2011",
"-","Unknown","2012",
"-","Unknown","2013",
"-","Unknown","2014",
"-","Unknown","2015",
"-","Unknown","2016",
"-","Unknown","2017",
"-","Unknown","2018",
"-","Unknown","2019",
"-","Unknown","2020",
"-","Unknown","2021",
"-","Unknown","2022",
"-","Unknown","2023",
"AK","Alaska","1987",6779
"AK","Alaska","1988",29538
"AK","Alaska","1989",29059
"AK","Alaska","1990",30833
"AK","Alaska","1991",32295
"AK","Alaska","1992",36123
"AK","Alaska","1993",35626
"AK","Alaska","1994",37828
"AK","Alaska","1995",41584
"AK","Alaska","1996",43294
"AK","Alaska","1997",42267
"AK","Alaska","1998",43830
"AK","Alaska","1999",44043
"AK","Alaska","2000",43701
"AK","Alaska","2001",44442
"AK","Alaska","2002",44828
"AK","Alaska","2003",44281
"AK","Alaska","2004",43147
"AK","Alaska","2005",43009
"AK","Alaska","2006",41917
"AK","Alaska","2007",41760
"AK","Alaska","2008",40969
"AK","Alaska","2009",38277
"AK","Alaska","2010",38881
"AK","Alaska","2011",39371
"AK","Alaska","2012",38581
"AK","Alaska","2013",39199
"AK","Alaska","2014",35399
"AK","Alaska","2015",35981
"AK","Alaska","2016",36144
"AK","Alaska","2017",36397
"AK","Alaska","2018",38838
"AK","Alaska","2019",39805
"AK","Alaska","2020",26901
"AK","Alaska","2021",39048
"AK","Alaska","2022",41625
"AK","Alaska","2023",5124
"AL","Alabama","1987",9032
"AL","Alabama","1988",36143
"AL","Alabama","1989",33855
"AL","Alabama","1990",37166
"AL","Alabama","1991",33802
"AL","Alabama","1992",34269
"AL","Alabama","1993",33343
"AL","Alabama","1994",32313
"AL","Alabama","1995",32947
"AL","Alabama","1996",31084
"AL","Alabama","1997",31545
"AL","Alabama","1998",31609
"AL","Alabama","1999",32386
"AL","Alabama","2000",30996
"AL","Alabama","2001",27740
"AL","Alabama","2002",22896
"AL","Alabama","2003",36430
"AL","Alabama","2004",45641
"AL","Alabama","2005",43825
"AL","Alabama","2006",37470
"AL","Alabama","2007",45255
"AL","Alabama","2008",46058
"AL","Alabama","2009",44334
"AL","Alabama","2010",45434
"AL","Alabama","2011",39301
