Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",,,,,,,,,,,1.951,2.001,2.051,2.102,2.152,2.203,2.300,2.398,2.495,2.593,2.690,2.755,2.820,2.885,2.950,3.015,3.082,3.150,3.217,3.284,3.351,3.401
"Albania","Europe","ALB","National","ALBt","Total",,,,,,,,,,,9.391,9.424,9.483,9.542,9.601,9.660,9.719,9.778,9.837,9.965,10.09,10.22,10.24,10.33,10.43,10.53,10.62,10.72,10.82,10.92,10.92,10.92
"Algeria","Africa","DZA","National","DZAt","Total",,,,,,,,,,,7.735,7.796,7.858,7.920,7.982,8.044,8.165,8.186,8.207,8.227,8.248,8.269,8.290,8.311,8.332,8.353,8.375,8.396,8.417,8.438,8.438,8.438
"Andorra","Europe","AND","National","ANDt","Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.63,10.63
"Angola","Africa","AGO","National","AGOt","Total",,,,,,,,,,,,,,,,,,,,,,,,,4.951,5.923,6.894,6.894,6.894,6.894,6.894,6.894
"Argentina urban","America","ARG","National","ARGt","Total",,,,,,,,,,,8.699,8.743,9.281,9.820,9.907,9.994,10.08,10.19,10.30,10.40,10.50,10.61,10.59,10.75,10.71,10.72,10.77,10.82,10.88,10.91,10.91,10.91
"Armenia","Europe","ARM","National","ARMt","Total",,,,,,,,,,,10.60,10.60,10.66,10.72,10.78,10.84,10.90,10.96,11.02,11.08,11.14,11.20,11.29,11.38,11.48,11.57,11.38,11.19,11.24,11.29,11.34,11.34
"Australia","Asia/Pacific","AUS","National","AUSt","Total",,,,,,,,,,,11.49,11.53,11.58,11.63,11.67,11.69,11.74,11.79,11.97,12.01,12.03,12.08,12.28,12.00,12.20,12.26,12.35,12.39,12.49,12.61,12.64,12.64
"Austria","Europe","AUT","National","AUTt","Total",,,,,,,,,,,11.63,11.71,11.79,11.86,11.94,12.02,12.04,12.06,12.10,12.15,12.16,12.16,12.19,12.20,12.43,12.47,12.48,12.50,12.53,12.55,12.55,12.55
"Azerbaijan","Europe","AZE","National","AZEt","Total",,,,,,,,,,,10.72,10.77,10.82,10.86,10.91,10.96,11.00,11.05,11.06,10.81,10.80,10.80,10.81,10.81,10.82,10.82,10.89,10.89,10.90,10.90,10.90,10.90
"Bahamas","America","BHS","National","BHSt","Total",,,,,,,,,,,10.78,,,,,11.24,,,,,11.69,11.79,11.88,11.97,12.07,12.17,12.26,12.36,12.46,12.56,12.56,12.56
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",,,,,,,,,,,8.620,,,,,8.554,,,,,8.056,8.299,8.542,8.785,9.028,9.271,9.514,9.799,10.61,10.89,11.17,11.17
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",,,,,,,,,,,4.899,5.003,5.103,5.204,5.305,5.405,5.506,5.606,5.707,5.808,5.908,6.009,6.082,5.747,5.800,6.635,6.781,6.905,6.999,7.141,8.021,8.021
"Barbados","America","BRB","National","BRBt","Total",,,,,,,,,,,8.900,8.924,8.948,8.971,8.995,9.019,9.039,9.059,9.079,9.099,9.119,9.105,9.091,9.077,9.063,9.049,9.059,9.069,9.079,9.089,9.089,9.089
"Belarus","Europe","BLR","National","BLRt","Total",,,,,,,,,,,10.69,10.76,10.83,10.90,10.98,11.05,11.13,11.20,11.28,11.35,11.43,11.51,11.59,11.66,11.74,11.82,11.90,11.97,12.05,12.13,12.13,12.13
"Belgium","Europe","BEL","National","BELt","Total",,,,,,,,,,,10.84,10.94,11.03,11.12,11.22,11.31,11.34,11.42,11.51,11.61,11.68,11.72,11.74,11.74,11.86,12.07,12.15,12.38,12.41,12.44,12.44,12.44
"Belize","America","BLZ","National","BLZt","Total",,,,,,,,,,,7.233,7.406,7.578,7.751,7.923,8.096,8.572,9.049,9.526,10.00,10.48,10.30,10.11,9.932,9.749,9.566,9.384,9.201,9.018,8.836,8.653,8.653
"Benin","Africa","BEN","National","BENt","Total",,,,,,,,,,,3.434,3.502,3.569,3.637,3.704,3.772,3.849,3.925,4.002,4.079,4.155,4.305,4.455,4.605,4.755,4.904,5.040,5.175,5.310,5.445,5.445,5.445
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,,,,,3.123,3.052,2.981,3.340,3.698,4.056,4.414,4.772,5.243,5.761,5.761,5.761
"Bolivia","America","BOL","National","BOLt","Total",,,,,,,,,,,,,,,,7.701,7.580,7.763,7.947,8.237,8.426,8.614,8.802,8.977,9.151,9.325,9.614,9.904,10.19,10.48,10.49,10.49
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",,,,,,,,,,,,,,,,7.298,7.299,7.513,7.727,7.941,8.154,8.265,8.992,9.720,10.45,10.48,10.85,10.85,10.85,11.10,11.35,11.35
"Botswana","Africa","BWA","National","BWAt","Total",,,,,,,,,,,7.660,7.808,7.956,8.104,8.252,8.400,8.532,8.664,8.796,8.928,9.060,9.270,9.480,9.690,9.900,10.11,10.18,10.25,10.33,10.40,10.40,10.40
"Brazil","America","BRA","National","BRAt","Total",,,,,,,,,,,5.074,5.276,5.477,5.678,5.879,6.041,6.203,6.377,6.536,6.630,6.696,6.832,7.030,7.077,7.157,7.291,7.528,7.623,7.752,7.894,7.894,7.894
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",,,,,,,,,,,8.510,,,,,8.760,,,,,8.980,8.998,9.016,9.034,9.052,9.070,9.102,9.134,9.166,9.198,9.198,9.198
"Bulgaria","Europe","BGR","National","BGRt","Total",,,,,,,,,,,9.888,10.18,10.23,10.29,10.35,10.40,10.46,10.59,10.62,10.65,10.71,10.77,10.87,10.97,10.98,11.11,11.14,11.14,11.20,11.25,11.31,11.31
"Burkina Faso","Africa","BFA","National","BFAt","Total",,,,,,,,,,,,,,,,1.893,1.877,0.868,0.997,1.126,1.255,1.384,1.513,1.641,1.770,1.950,2.129,2.309,2.488,2.704,2.704,2.704
